path,key,english,japanese
Audio/english/AudioFile/0/0/004ccc8c,english,What was that for!,なんのためだったんだ！
Audio/english/AudioFile/0/0/0054c04c,english,"Roger that, Ghost assigned to perimeter commencing tox deployment. Watch for ground based hostiles and maintain orbit."
Audio/english/AudioFile/0/0/00652737,english,Out of my way.
Audio/english/AudioFile/0/0/0068022d,english,*grunts* I can't see for shit -- is anybody out there?
Audio/english/AudioFile/0/0/006929ae,english,This area is clear! We can take it from here.,このエリアはクリアだ！ 落ち着け。
Audio/english/AudioFile/0/0/00697e89,english,*choke*
Audio/english/AudioFile/0/0/006a1c97,english,It's coming from that vehicle!,乗り物でやってくるぞ！
Audio/english/AudioFile/0/0/006cb57d,english,If I go inside before I take a look around they could ambush me again. I can't afford to take that risk.,辺りを確認せずに中に入れば、やつらはまた待ち伏せするかもしれない。 そんなリスクを冒している余裕はない。
Audio/english/AudioFile/0/0/006e5ac5,english,"Aerial indicates west, your west perimeter has hostiles. Out."
Audio/english/AudioFile/0/0/0076cc59,english,"All units, pull out now!",全ユニット、ただちに出撃！
Audio/english/AudioFile/0/0/007b2afd,english,"Somebody, please help me? For the love of God....",誰か、助けてくれないか？ 神の愛のために……。
Audio/english/AudioFile/0/0/007ffdda,english,They're coming for us!,彼らは俺達のために来たんだ！
Audio/english/AudioFile/0/0/0083e7a8,english,"Drop him, asshole!",奴を撃ち落せ、くそったれ！
Audio/english/AudioFile/0/0/008505c6,english,Can I help?,お手伝いしましょうか？
Audio/english/AudioFile/0/0/008a5197,english,*croak*
Audio/english/AudioFile/0/0/0093f9fd,english,Hold fire! I'm your Sergeant!,打ち続けろ！ 俺は軍曹だぞ！
Audio/english/AudioFile/0/0/00a1106a,english,Clip him!,奴を足止めしろ！
Audio/english/AudioFile/0/0/00a1a98e,english,"Please, it's my boy's birthday tomorrow!",お願い、明日は息子の誕生日なの！
Audio/english/AudioFile/0/0/00a3861c,english,"All units, Command requesting flood and cover in the Zone, over. "
Audio/english/AudioFile/0/0/00a6ba93,english,"God-mode, God-mode, cowboy up, he's right here, right now."
Audio/english/AudioFile/0/0/00ae415e,english,Zone appears clear. No sign of hostile.,ここはクリアだ。 敵の影はない。
Audio/english/AudioFile/0/0/00b6ea9d,english,"Got him! Ground, confirm that kill, over.",奴を捕らた！ 地面だ、殺傷を確認しろ、どうぞ。
Audio/english/AudioFile/0/0/00b7301f,english,"Guys, the son of a bitch is back.",おまえら、くそったれが帰ってきたぞ。
Audio/english/AudioFile/0/0/00bbbffe,english,"Tornado Seven, going down hard!"
Audio/english/AudioFile/0/0/00bd9b0e,english,"No, i-i-it's cool. I-I-I'm not it!"
Audio/english/AudioFile/0/0/00c1c98c,english,"That's affirmative, target destroyed, over.",賛成だ、ターゲットは破壊された、どうぞ。
Audio/english/AudioFile/0/0/00c3d090,english,Fuck! Fuck you!,このっ！ このやろう！
Audio/english/AudioFile/0/0/00ca2d92,english,We're in deep here. Mat it!
Audio/english/AudioFile/0/0/00cc5b5a,english,I think I see him! There!,奴を発見したと思われる！ そこだ！
Audio/english/AudioFile/0/0/00e20f6a,english,"Please! Don't kill me, man! Please!",おねがい！ 殺さないでください！ おねがい！
Audio/english/AudioFile/0/0/00e24abd,english,"Everyone, sustain fire on my target!",全員、あのターゲットを撃ち続けろ！
Audio/english/AudioFile/0/0/00e9c4bb,english,"Police, there's your man!"
Audio/english/AudioFile/0/0/00f8a3a2,english,"Just let me live, and you'll never see me again.",見逃して、もう二度と姿を見せないで。
Audio/english/AudioFile/0/0/00fd186f,english,"Red sighting, permission to engage, over."
Audio/english/AudioFile/0/1/01001655,english,"Firing Pod One, torch is lit, over "
Audio/english/AudioFile/0/1/010293b7,english,Ah hell! Which one's the target?
Audio/english/AudioFile/0/1/01078919,english,Make another move and you're dead!
Audio/english/AudioFile/0/1/010ce20d,english,"Acknowledged, officer."
Audio/english/AudioFile/0/1/0114613e,english,I'm back.
Audio/english/AudioFile/0/1/0121d31a,english,Fall in near the armor.
Audio/english/AudioFile/0/1/012abf50,english,"Search came up empty, Red Crown."
Audio/english/AudioFile/0/1/012dc1c2,english,There's a fucking carpet of bodies down there.
Audio/english/AudioFile/0/1/012f4f2f,english,We're hit but still functional.
Audio/english/AudioFile/0/1/01355b33,english,You got that on visual?
Audio/english/AudioFile/0/1/01360669,english,"It's him, it's that fucking thing!"
Audio/english/AudioFile/0/1/0137624c,english,"Not so fast, you son of a bitch."
Audio/english/AudioFile/0/1/01421125,english,Something's helping them - is it Zeus...?
Audio/english/AudioFile/0/1/01433f74,english,Take him down!
Audio/english/AudioFile/0/1/0147d538,english,Nearly shit myself.
Audio/english/AudioFile/0/1/015bd691,english,Not yet.
Audio/english/AudioFile/0/1/015d5677,english,Was anybody hurt?
Audio/english/AudioFile/0/1/015f22fa,english,Please! Stop!
Audio/english/AudioFile/0/1/0167736e,english,"All units mobile, ETA on Target Zone T-minus-thirty seconds."
Audio/english/AudioFile/0/1/016aa838,english,That's one less pain in the fuckin' ass.
Audio/english/AudioFile/0/1/01762572,english,I'll be damned.
Audio/english/AudioFile/0/1/017ec4f5,english,"No sign of target, Red Crown."
Audio/english/AudioFile/0/1/018188b3,english,Ahhhh! Shit!
Audio/english/AudioFile/0/1/0183d503,english,That's far enough! Now get down on the ground!
Audio/english/AudioFile/0/1/01844bd6,english,Can anyone help! I need help!
Audio/english/AudioFile/0/1/01848801,english,"Voodoo Seven, going down!"
Audio/english/AudioFile/0/1/018b5776,english,"In your Zone, Dogs! Fuck em up!"
Audio/english/AudioFile/0/1/018cbf46,english,"You'll love this, we got burners on our optical, over."
Audio/english/AudioFile/0/1/019048ea,english,Save yourselves!
Audio/english/AudioFile/0/1/019750ce,english,"Save some of the city, gunner, aim at moving targets only."
Audio/english/AudioFile/0/1/019de58b,english,Unit down!
Audio/english/AudioFile/0/1/019eb474,english,"Help me! Help! Call the cops! Somebody, call the cops!"
Audio/english/AudioFile/0/1/01a150f3,english,"There it is! Going in. Get ready, guys."
Audio/english/AudioFile/0/1/01b144c4,english,"Standby, onsite. Red Crown, please accept priority target location, aerial Support Team requested, priority auth Delta Two Four."
Audio/english/AudioFile/0/1/01b6d11b,english,He's making a run for it!
Audio/english/AudioFile/0/1/01bb66f4,english,Fucker's down!
Audio/english/AudioFile/0/1/01c105c1,english,"Pull us out, Red Crown, just about lost the Bird, over."
Audio/english/AudioFile/0/1/01c5cc07,english,Move it!
Audio/english/AudioFile/0/1/01cb76be,english,"Oh, Jesus! Jesus! Guys! Help!"
Audio/english/AudioFile/0/1/01d2b216,english,Clear out of here -- now!
Audio/english/AudioFile/0/1/01d3ff43,english,What the hell. What’s...wrong with 'em. FUCK!
Audio/english/AudioFile/0/1/01db029f,english,"No. Negative, over."
Audio/english/AudioFile/0/1/01dd9a7e,english,Keep shooting! Bring it down!
Audio/english/AudioFile/0/1/01e3ad0c,english,Something to kill? SADDLE UP!
Audio/english/AudioFile/0/1/01e4bf4d,english,"We've come up dry, Red Crown. Chalk Three awaiting new orders."
Audio/english/AudioFile/0/1/01e5c0aa,english,It's time to get tough.
Audio/english/AudioFile/0/1/01ee69e9,english,Voodoo Seven is out. Negative on target reacquisition.
Audio/english/AudioFile/0/1/01f51a5a,english,"Please! Oh, I-I want to live!"
Audio/english/AudioFile/0/1/01f7daf3,english,It became someone else!
Audio/english/AudioFile/0/1/01f81732,english,"Flak, request Six check, over."
Audio/english/AudioFile/0/1/01f948b9,english,"Just shut up, shut up."
Audio/english/AudioFile/0/1/01f9f40e,english,US Marine Corps! What happened here?
Audio/english/AudioFile/0/1/01fb5b8b,english,Keep shooting till it's dead and gone.
Audio/english/AudioFile/0/1/01fee932,english,"Enemy has been annihilated, HQ. We wiped 'em up."
Audio/english/AudioFile/0/2/0203daa6,english,"Please, don't shoot!"
Audio/english/AudioFile/0/2/020c7f64,english,"It's going down, going down!"
Audio/english/AudioFile/0/2/021035b4,english,"Man, that's gotta be him!"
Audio/english/AudioFile/0/2/02150b1f,english,Call the police!
Audio/english/AudioFile/0/2/0217c841,english,*croak*
Audio/english/AudioFile/0/2/02214405,english,They're infected with that thing.
Audio/english/AudioFile/0/2/02256aea,english,Don't let him fool you!
Audio/english/AudioFile/0/2/02261980,english,Help! Help! I have someone trapped here!
Audio/english/AudioFile/0/2/022a00ae,english,Get a picture of me with this fucking thing.
Audio/english/AudioFile/0/2/02340af9,english,Fuckin' punks....
Audio/english/AudioFile/0/2/0234977d,english,"Strike Leader reporting target down, over."
Audio/english/AudioFile/0/2/023e104f,english,No....
Audio/english/AudioFile/0/2/02414e72,english,Fuck off!
Audio/english/AudioFile/0/2/0242b29a,english,Clear out down range!
Audio/english/AudioFile/0/2/024cd677,english,I'll get on that.
Audio/english/AudioFile/0/2/0250ac98,english,"We make it back and pizza's on me, chief."
Audio/english/AudioFile/0/2/02573ec8,english,"Back me up. Gimme the 'WATCH, not those fuckin' Dogs."
Audio/english/AudioFile/0/2/025850f3,english,"Semper Fi, Captain!"
Audio/english/AudioFile/0/2/025b3e73,english,"Well we tried, we sure the hell tried."
Audio/english/AudioFile/0/2/0261f905,english,"All Birds, confirm tactical. Initiate Yankee X-Ray Three, over."
Audio/english/AudioFile/0/2/0266593e,english,"It's on board, evade, pull hard!"
Audio/english/AudioFile/0/2/026acb7f,english,"Roger that, what's your status?"
Audio/english/AudioFile/0/2/026cda94,english,Something on our screens. Gonna check it out.
Audio/english/AudioFile/0/2/026d85b5,english,That's what you get for fuckin' with the Marines! Oooya!
Audio/english/AudioFile/0/2/026edf0d,english,We are in the shit and LOVING IT!
Audio/english/AudioFile/0/2/02797c82,english,"Get up, get up! Keep fighting."
Audio/english/AudioFile/0/2/028298e6,english,Taggart's aircraft are somewhere near here.
Audio/english/AudioFile/0/2/0283f5e0,english,ZEUS has been sighted! Clear the landing areas!,ゼウスを発見！ 着陸地点をあけろ！
Audio/english/AudioFile/0/2/02882885,english,There! There! Right there! He's your man!
Audio/english/AudioFile/0/2/028d1de7,english,"Oww, my arm!"
Audio/english/AudioFile/0/2/0299a89c,english,I think I'm gonna puke!
Audio/english/AudioFile/0/2/029a8aa1,english,This is no pushover.
Audio/english/AudioFile/0/2/029b2534,english,Watch out! Gun!
Audio/english/AudioFile/0/2/029d926a,english,"Oh, whoa, whoa. Fuck, guys, hold it."
Audio/english/AudioFile/0/2/029ebbad,english,"And that's how that story ends, bro."
Audio/english/AudioFile/0/2/02ada234,english,That's it! Don't touch him!
Audio/english/AudioFile/0/2/02aed54b,english,There! That's him!
Audio/english/AudioFile/0/2/02b64456,english,"Clear the area, clear that entire area. Check it out."
Audio/english/AudioFile/0/2/02bbc897,english,Get out the way!
Audio/english/AudioFile/0/2/02bfc658,english,You're not permitted in this Zone.
Audio/english/AudioFile/0/2/02c43e54,english,"It's a done deal, let's go home."
Audio/english/AudioFile/0/2/02c66a53,english,They're done here.
Audio/english/AudioFile/0/2/02cecda4,english,Hit but still rolling. Fire control clear.
Audio/english/AudioFile/0/2/02d0db1f,english,"At your command, sir!"
Audio/english/AudioFile/0/2/02d62fbf,english,I see more! Move it! Move it!
Audio/english/AudioFile/0/2/02d8f8c0,english,"Somebody, save me! Please!"
Audio/english/AudioFile/0/2/02d9e86f,english,"Engaging search and destroy. Sweep for hostile contacts, over."
Audio/english/AudioFile/0/2/02db744e,english,Tornado flight to Red Crown. What's next?
Audio/english/AudioFile/0/2/02de5d45,english,"Roger, carry on."
Audio/english/AudioFile/0/2/02e3d892,english,We got it on the mat!
Audio/english/AudioFile/0/2/02e7e3a3,english,Don't let him get me! Kill him!
Audio/english/AudioFile/0/2/02ee74a5,english,Prepare for impact!
Audio/english/AudioFile/0/2/02f1d6ca,english,"HQ, this is Ghost Three Six Seven Five, we are clear of the Red Zone!"
Audio/english/AudioFile/0/2/02f25d19,english,*croak*
Audio/english/AudioFile/0/2/02f2e3b5,english,"Check fire, check fire!"
Audio/english/AudioFile/0/2/02f6bb64,english,Somebody! Anybody! Help!
Audio/english/AudioFile/0/2/02fbba2c,english,Step the fuck back!
Audio/english/AudioFile/0/3/030eb6dc,english,"*cough, grunt* Call for an ambulance!"
Audio/english/AudioFile/0/3/03125548,english,"Can't hear you, Dispatch -- SEND BACK UP!"
Audio/english/AudioFile/0/3/031b2c1a,english,Get the fuck out of here.
Audio/english/AudioFile/0/3/0325e935,english,"My nose is twitching, something's wrong down there."
Audio/english/AudioFile/0/3/032690ad,english,"Tactical responding units, Ten Two."
Audio/english/AudioFile/0/3/032910c8,english,"No time for props, boys. Get on down to the final Red Zone and clean it up. "
Audio/english/AudioFile/0/3/0329f090,english,"Negative on site, Dispatch. Two Whiskey Seven has got nothing."
Audio/english/AudioFile/0/3/032c512f,english,AT and Bulldog Units ready. Hotrod holding outside Red Zone
Audio/english/AudioFile/0/3/032c99a6,english,Nahhhhhh!
Audio/english/AudioFile/0/3/0332d84c,english,"Everybody hold, uploading target image to Strike Boss, over."
Audio/english/AudioFile/0/3/03358a3a,english,"Confirmed kill, that's a good one. "
Audio/english/AudioFile/0/3/03392007,english,Prepare for new orders. ZEUS is clear.
Audio/english/AudioFile/0/3/033a0308,english,"Negative, Dispatch, negative."
Audio/english/AudioFile/0/3/033b59f2,english,What's that?
Audio/english/AudioFile/0/3/033d6a27,english,"Launcher hot, forces cover us and we will hit targets."
Audio/english/AudioFile/0/3/0343fec5,english,"Strike Boss confirming, mission complete, over."
Audio/english/AudioFile/0/3/034c8a69,english,What can I do!?
Audio/english/AudioFile/0/3/034f05f5,english,"Chalk Three, Tornado One. We're buggin' out!"
Audio/english/AudioFile/0/3/034fb12a,english,Heads up!
Audio/english/AudioFile/0/3/035274ec,english,"We're taking position right now. Give us green light to engage, over."
Audio/english/AudioFile/0/3/0353c6a4,english,"All Air Units, you are cleared to begin your strike pass. Be careful, our boys are danger close. "
Audio/english/AudioFile/0/3/035a3806,english,Hey -- help 'em!
Audio/english/AudioFile/0/3/035cea36,english,We got the wrong guy!
Audio/english/AudioFile/0/3/035d9641,english,We're going to die!
Audio/english/AudioFile/0/3/03617ffa,english,They shoulda warned us about this shit.
Audio/english/AudioFile/0/3/03620662,english,What the hell was that?!?
Audio/english/AudioFile/0/3/036c16c9,english,Ugh! Taken heavy damage!
Audio/english/AudioFile/0/3/0378cdbc,english,Can anybody hear me!?
Audio/english/AudioFile/0/3/03811e6e,english,"No line of sight reported from any teams, ZEUS gone dark."
Audio/english/AudioFile/0/3/0383afc1,english,Let go.
Audio/english/AudioFile/0/3/038452fa,english,"ZEUS is on the move, please advise."
Audio/english/AudioFile/0/3/038c4785,english,*croak*
Audio/english/AudioFile/0/3/038fd055,english,"Red Crown, burners, burners in the numbers, over."
Audio/english/AudioFile/0/3/03977093,english,Damn it!
Audio/english/AudioFile/0/3/039b3375,english,That fucker!
Audio/english/AudioFile/0/3/039caf7e,english,"Negative, come back?"
Audio/english/AudioFile/0/3/039d7fc0,english,"Look, it's my beat, and I don't like sharing it with these spooks."
Audio/english/AudioFile/0/3/03a22053,english,Taggart!  It's over!
Audio/english/AudioFile/0/3/03a24acb,english,"Package, withdraw from battle-space, over."
Audio/english/AudioFile/0/3/03a50276,english,That's a pretty massive fuck-around right there.
Audio/english/AudioFile/0/3/03a66a08,english,"OK, we got it now. Sensors hot."
Audio/english/AudioFile/0/3/03a7c5f9,english,"We're not seeing anything here, Red Crown. Request new coordinates."
Audio/english/AudioFile/0/3/03a9f3c3,english,Don't let him get me!
Audio/english/AudioFile/0/3/03abd133,english,Acquired.
Audio/english/AudioFile/0/3/03acaf23,english,What's the situation?
Audio/english/AudioFile/0/3/03b0fbce,english,Put the 20-7s to the test. Let's hit it.
Audio/english/AudioFile/0/3/03b2987f,english,Regroup. Repeat. Regroup.
Audio/english/AudioFile/0/3/03b7906c,english,Razorback One taking a peek.
Audio/english/AudioFile/0/3/03b8637a,english,I can't feel it at all.
Audio/english/AudioFile/0/3/03caf364,english,"10-16! Military call sign Red Crown, officers need assistance! We have an attack alert. Do you copy?"
Audio/english/AudioFile/0/3/03cb83f0,english,"Reporting strike target, do you copy?"
Audio/english/AudioFile/0/3/03d07952,english,Don't be fucking stupid! It's not me!
Audio/english/AudioFile/0/3/03d127e8,english,Gun! Gun!
Audio/english/AudioFile/0/3/03d25811,english,They keep coming - I'll keep killing.,やつらが死に果てるまで ―― 殺し続けてやる。
Audio/english/AudioFile/0/3/03d2f9b2,english,"Get back on the road -- we're compromised, get mobile!"
Audio/english/AudioFile/0/3/03d50f2b,english,Sergeant...I think we got something here.
Audio/english/AudioFile/0/3/03dab0c1,english,"ZEUS is down, repeat, ZEUS is down!"
Audio/english/AudioFile/0/3/03df7440,english,Holy shit.
Audio/english/AudioFile/0/3/03e575a4,english,"Requesting immediate air support, Red Crown!"
Audio/english/AudioFile/0/3/03e8242c,english,"Repeat, repeat. We lost your last comm."
Audio/english/AudioFile/0/3/03ec5cd9,english,Jesus Christ!
Audio/english/AudioFile/0/3/03f74587,english,"Move up, move up! Cover and fire!"
Audio/english/AudioFile/0/4/040814ab,english,"Voodoo entering Target Zone. Cleared for target requests, over."
Audio/english/AudioFile/0/4/040d5f73,english,Sting a little?,蚊に刺されたか？
Audio/english/AudioFile/0/4/040ec51c,english,"Yo, watch it, would ya?"
Audio/english/AudioFile/0/4/041167bb,english,"Friendlies stay alert, death from above. Gun, go gun."
Audio/english/AudioFile/0/4/0412f39a,english,Come off. It's disappeared. We're negative.
Audio/english/AudioFile/0/4/04139ed0,english,You! Down on the ground!
Audio/english/AudioFile/0/4/0415dc87,english,You're in the clear. Stand by to redeploy.
Audio/english/AudioFile/0/4/04189432,english,Everyone! Leave the area in an orderly fashion -- now!
Audio/english/AudioFile/0/4/041b57b5,english,Occupied! Close this channel!
Audio/english/AudioFile/0/4/041d856a,english,This isn't safe.
Audio/english/AudioFile/0/4/041f62ef,english,By the power of Jesus!
Audio/english/AudioFile/0/4/04250d18,english,This may take a while.
Audio/english/AudioFile/0/4/04262a26,english,"Target still kicking, over."
Audio/english/AudioFile/0/4/042914ef,english,This is NOT TENABLE!
Audio/english/AudioFile/0/4/042c93a5,english,Under attack!
Audio/english/AudioFile/0/4/042fe5ff,english,Make it so.
Audio/english/AudioFile/0/4/0433398d,english,"Aw, shit! Here they come!"
Audio/english/AudioFile/0/4/044e427d,english,"Look out, look out!"
Audio/english/AudioFile/0/4/04541221,english,"You broke up there, can you repeat, over?"
Audio/english/AudioFile/0/4/0454ee66,english,Did anyone see what happened? Anyone?
Audio/english/AudioFile/0/4/045c5d5c,english,Lock acquired. Launch pending. Death imminent.
Audio/english/AudioFile/0/4/046a5798,english,Got him. Good. Sweep the area.
Audio/english/AudioFile/0/4/0474e935,english,"Empty on target, redeploying and rearming. Red Crown, do you copy?"
Audio/english/AudioFile/0/4/047b7df2,english,Move! Move! Move! Look out!
Audio/english/AudioFile/0/4/047c4cc6,english,I don't wanna die here. I don't wanna die.
Audio/english/AudioFile/0/4/0481876a,english,Ahhhhgggghhh!
Audio/english/AudioFile/0/4/04840728,english,"Ooh, someone! Help!"
Audio/english/AudioFile/0/4/048600d6,english,This is Racecar Three Six. Requesting support
Audio/english/AudioFile/0/4/04868556,english,Tornado Foxtrot to Ground. What's going on down there? Over.
Audio/english/AudioFile/0/4/04872deb,english,"Good job, bro. Good job."
Audio/english/AudioFile/0/4/0489f1ad,english,Our guys are spread all over the street. It's a fucking mess out here....
Audio/english/AudioFile/0/4/048a360e,english,So many minds at work. All talking. All dying.,記憶が多すぎる。 一斉に語りかけて消えていきやがる。
Audio/english/AudioFile/0/4/048dfca9,english,The idiots are winning.
Audio/english/AudioFile/0/4/04946982,english,COMING THROUGH!
Audio/english/AudioFile/0/4/0498918e,english,*oof*
Audio/english/AudioFile/0/4/049cd47f,english,Who's behind all this?
Audio/english/AudioFile/0/4/04a022d6,english,"Get us out, let's regroup, over."
Audio/english/AudioFile/0/4/04b04a7d,english,Get away!
Audio/english/AudioFile/0/4/04b4cff9,english,"What's this? Holy shit, is it that guy?"
Audio/english/AudioFile/0/4/04c74cf5,english,We got him!
Audio/english/AudioFile/0/4/04c87d25,english,"Hey, what are you doing?"
Audio/english/AudioFile/0/4/04d97118,english,"Squad Forty-Five, can we get a strike to this location, over."
Audio/english/AudioFile/0/4/04e21a6f,english,"Second Wing on approach, confirmed."
Audio/english/AudioFile/0/4/04e42e6f,english,Redeployment confirmed.
Audio/english/AudioFile/0/4/04efdb60,english,That's the guy!
Audio/english/AudioFile/0/4/04f2a386,english,"Oh, shit, he's here!"
Audio/english/AudioFile/0/4/04f3d385,english,Belay Strike squad deployment.
Audio/english/AudioFile/0/4/04f5ca2f,english,Target in sight!
Audio/english/AudioFile/0/4/04fd8354,english,"That's a kill. That's a kill. Send me a new target, over."
Audio/english/AudioFile/0/5/05018e65,english,"Down, he's down."
Audio/english/AudioFile/0/5/05022789,english,Clear out!
Audio/english/AudioFile/0/5/0507388e,english,"Cover the entire area. Find it, kill it!"
Audio/english/AudioFile/0/5/050d14c9,english,Ground coming fast!
Audio/english/AudioFile/0/5/050ebf59,english,Escalating fire.
Audio/english/AudioFile/0/5/0516f38a,english,"No! Nooo! No, OK? No, no!"
Audio/english/AudioFile/0/5/051a511e,english,Red Crown to all units. Confirmation of widespread outbreak. Masks and Biohazard level four protocols in effect in all control zones. Out.
Audio/english/AudioFile/0/5/051fa378,english,"It's on board, shake if off, shake it off!"
Audio/english/AudioFile/0/5/0524ae1e,english,Fuckin' hell.
Audio/english/AudioFile/0/5/052ec221,english,"Watch your backs, its out of control!"
Audio/english/AudioFile/0/5/052f0437,english,"You should pick your friends more carefully, Mercer...",友達はもっとよく考えて選ばないとな、マーサー……。
Audio/english/AudioFile/0/5/0534d71a,english,I will END you.
Audio/english/AudioFile/0/5/0535e95a,english,Anyone seeing that? Make sure its nothing or it's dead!
Audio/english/AudioFile/0/5/05403f4d,english,Shots fired and suspect down.
Audio/english/AudioFile/0/5/0542c8b8,english,Get him before he does it again!
Audio/english/AudioFile/0/5/0552cb07,english,"Search objective has been scrubbed, you will have new orders momentarily."
Audio/english/AudioFile/0/5/05550229,english,Jesus.
Audio/english/AudioFile/0/5/0556e23b,english,Get the fuck out!
Audio/english/AudioFile/0/5/055714e9,english,"My scope is clear, I'm going to need co-ords."
Audio/english/AudioFile/0/5/05587929,english,"Target contained, repeat, target contained."
Audio/english/AudioFile/0/5/05592185,english,"We got you covered, asshole!"
Audio/english/AudioFile/0/5/055da987,english,"Closing the sweep down, Red Crown, no signs."
Audio/english/AudioFile/0/5/05609431,english,"Brace, brace!"
Audio/english/AudioFile/0/5/05663542,english,Can you see anything? What do you see?
Audio/english/AudioFile/0/5/05676541,english,Teams go dark. Clear for now.
Audio/english/AudioFile/0/5/05726d2c,english,Hey -- weren't you with the Field Team?
Audio/english/AudioFile/0/5/057694f8,english,That fucker's back in the open!
Audio/english/AudioFile/0/5/05774104,english,He's got the virus!
Audio/english/AudioFile/0/5/057b2831,english,"Guys, which one is it?"
Audio/english/AudioFile/0/5/0585c1c9,english,Affirmative.
Audio/english/AudioFile/0/5/058b3d4b,english,"Fuck you, dude, that one was mine!"
Audio/english/AudioFile/0/5/058b916d,english,"Acknowledge, is that a negative contact on all points? Sound off if otherwise."
Audio/english/AudioFile/0/5/058c7515,english,Officer in trouble! Help!
Audio/english/AudioFile/0/5/058e3d32,english,"We're at half fuel and the target's still active, flight time is good."
Audio/english/AudioFile/0/5/0593da1d,english,"Can you confirm redeploy, over."
Audio/english/AudioFile/0/5/0595fa85,english,"This is Red 4 - we are on the verge of defeat, they're too strong for us."
Audio/english/AudioFile/0/5/059d5ec6,english,"Fucking mercs, plain and simple."
Audio/english/AudioFile/0/5/05a24fe5,english,*choking and groaning*
Audio/english/AudioFile/0/5/05a868d6,english,No more trouble.
Audio/english/AudioFile/0/5/05ac8385,english,Hit 'em harder! We're taking significant damage here.
Audio/english/AudioFile/0/5/05b65a5f,english,"Yeah, the whole Strike Package is in play."
Audio/english/AudioFile/0/5/05b780c1,english,"Going thermal, but it's a shit-fest, RC."
Audio/english/AudioFile/0/5/05bbf5cb,english,"Acknowledged, over."
Audio/english/AudioFile/0/5/05bead38,english,Shit.
Audio/english/AudioFile/0/5/05c170f9,english,We can still kill it!
Audio/english/AudioFile/0/5/05c57bf5,english,Incoming! INCOMING!
Audio/english/AudioFile/0/5/05c7eede,english,"Orders belayed. Strike Team disengage and dismantle, over."
Audio/english/AudioFile/0/5/05cb2633,english,"Pus-bags rolling in, grunts."
Audio/english/AudioFile/0/5/05d45140,english,"Oh, God!"
Audio/english/AudioFile/0/5/05e452ff,english,I need witnesses to come forward! Are there any witnesses?
Audio/english/AudioFile/0/5/05e4a1ef,english,"All units, 10-60-I is closed."
Audio/english/AudioFile/0/5/05ead2ab,english,Better give emergency services some space.
Audio/english/AudioFile/0/5/05ec4cb8,english,Holy shit!
Audio/english/AudioFile/0/5/05ff2089,english,"Cancel that request for fire support, Red Crown. Looks like things are done here. "
Audio/english/AudioFile/0/5/05fffc6f,english,"Damn, he's seen better days."
Audio/english/AudioFile/0/6/0601ceee,english,"Aborting sweep, no sighting of target, over. "
Audio/english/AudioFile/0/6/06076bd9,english,I'm uploading visuals on what's left.
Audio/english/AudioFile/0/6/060d1776,english,"Come on, we're so close. "
